id	t	x	y	z
Trace 420	0	-41412.9875	41018.475	6138.53
Trace 420	1	-41411.0375	41017.9875	6138.37
Trace 420	2	-41408.925	41017.825	6135.84
Trace 420	3	-41407.625	41017.6625	6132.09
Trace 420	4	-41405.8375	41017.825	6129.84
Trace 420	5	-41405.35	41017.825	6129.24
Trace 420	6	-41404.7	41017.825	6125.96
Trace 420	7	-41404.05	41017.825	6124.9
Trace 420	8	-41403.725	41016.85	6126.14
Trace 420	9	-41404.05	41017.0125	6123.55
Trace 420	10	-41403.725	41017.175	6123.39
Trace 420	11	-41397.7125	41019.2875	6125.42
Trace 420	12	-41403.4	41017.175	6123.17
Trace 420	13	-41391.05	41019.45	6123.75
Trace 420	14	-41391.2125	41019.45	6123.98
Trace 420	15	-41391.05	41019.6125	6124.39
Trace 421	0	-41050.2875	41011.65	6138.53
Trace 421	1	-41048.6625	41010.5125	6138.37
Trace 421	2	-41041.5125	41012.95	6135.84
Trace 421	3	-41038.1	41010.8375	6132.09
Trace 421	4	-41041.8375	41010.025	6129.84
Trace 421	5	-41040.7	41015.55	6129.24
Trace 421	6	-41038.5875	41015.3875	6125.96
Trace 421	7	-41036.9625	41009.8625	6124.9
Trace 421	8	-41036.15	41011	6126.14
Trace 421	9	-41031.4375	41013.7625	6123.55
Trace 421	10	-41032.25	41014.7375	6123.39
Trace 421	11	-41035.175	41011.4875	6125.42
Trace 421	12	-41036.15	41014.9	6123.17
Trace 421	13	-41032.4125	41015.225	6123.75
Trace 421	14	-41034.0375	41016.0375	6123.98
Trace 421	15	-41032.9	41015.875	6124.39
Trace 421	16	-41029.975	41016.525	6124.66
Trace 422	0	-40788.175	40999.95	6138.53
Trace 422	1	-40789.3125	41002.55	6138.37
Trace 422	2	-40780.05	41002.7125	6135.84
Trace 422	3	-40779.5625	41003.525	6132.09
Trace 422	4	-40781.025	41003.3625	6129.84
Trace 422	5	-40777.125	41003.525	6129.24
Trace 422	6	-40774.0375	41003.6875	6125.96
Trace 423	0	-41065.5625	40997.675	6138.53
Trace 423	1	-41065.075	40995.8875	6138.37
Trace 423	2	-41062.15	40995.5625	6135.84
Trace 423	3	-41057.4375	40995.8875	6132.09
Trace 423	4	-41056.4625	40993.125	6129.84
Trace 423	5	-41054.675	40993.775	6129.24
Trace 423	6	-41053.375	40994.5875	6125.96
Trace 423	7	-41056.7875	40995.725	6124.9
Trace 423	8	-41053.8625	40996.7	6126.14
Trace 423	9	-41046.55	40996.5375	6123.55
Trace 423	10	-41046.55	40997.1875	6123.39
Trace 423	11	-41048.6625	40996.5375	6125.42
Trace 423	12	-41053.8625	40996.7	6123.17
Trace 423	13	-41052.725	40994.425	6123.75
Trace 423	14	-41051.75	40995.075	6123.98
Trace 423	15	-41043.3	40994.2625	6124.39
Trace 423	16	-41043.1375	40994.9125	6124.66
Trace 424	0	-41014.5375	40931.7	6138.53
Trace 424	1	-41012.75	40931.2125	6138.37
Trace 424	2	-41009.0125	40930.5625	6135.84
Trace 424	3	-41004.7875	40930.725	6132.09
Trace 424	4	-41001.375	40930.725	6129.84
Trace 424	5	-40998.775	40931.05	6129.24
Trace 424	6	-40996.9875	40931.2125	6125.96
Trace 424	7	-40994.875	40931.5375	6124.9
Trace 424	8	-40994.3875	40931.8625	6126.14
Trace 424	9	-40992.925	40932.35	6123.55
Trace 424	10	-40992.275	40932.675	6123.39
Trace 424	11	-40992.275	40933.8125	6125.42
Trace 424	12	-40991.4625	40933.975	6123.17
Trace 424	13	-40990.4875	40934.625	6123.75
